,name,iata,oaci,fleet_size,img_ext,timestamp
225,Aloha Air Cargo,AAH,KH,9,https://www.flightradar24.com/static/images/data/operators/AAH_logo0.png,2024-02-09 12:15:35.340320
226,AlpAvia,APP,AL,2,placeholder,2024-02-09 12:15:35.340320
227,Alpha Aviation,AAO,,23,placeholder,2024-02-09 12:15:35.340320
228,Alphaland Aviation,BIC,,2,placeholder,2024-02-09 12:15:35.340320
229,AlphaSky,JAG,,1,placeholder,2024-02-09 12:15:35.340320
230,Alpine Flightservice,FSE,,2,https://images.flightradar24.com/assets/airlines/logotypes/1776.png,2024-02-09 12:15:35.340320
231,Alrosa,DRU,6R,5,https://images.flightradar24.com/assets/airlines/logotypes/930.png,2024-02-09 12:15:35.340320
232,Altagna,AGH,,2,placeholder,2024-02-09 12:15:35.340320
233,Amakusa Airlines,AHX,MZ,1,placeholder,2024-02-09 12:15:35.340320
234,AMC Airlines,AMV,,4,https://images.flightradar24.com/assets/airlines/logotypes/559.png,2024-02-09 12:15:35.340320
235,AMC Aviation,AMQ,,14,https://images.flightradar24.com/assets/airlines/logotypes/560.png,2024-02-09 12:15:35.340320
236,Amelia,AIA,8R,18,https://images.flightradar24.com/assets/airlines/logotypes/1038.png,2024-02-09 12:15:35.340320
237,American Air Charter,GTW,,6,placeholder,2024-02-09 12:15:35.340320
238,American Airlines,AAL,AA,1538,https://images.flightradar24.com/assets/airlines/logotypes/30.png,2024-02-09 12:15:35.340320
239,American Jet,AJB,,6,placeholder,2024-02-09 12:15:35.340320
240,American Jet International,SCM,,9,https://images.flightradar24.com/assets/airlines/logotypes/2230.png,2024-02-09 12:15:35.340320
241,Ameriflight,AMF,A8,124,https://images.flightradar24.com/assets/airlines/logotypes/954.png,2024-02-09 12:15:35.340320
242,Amerijet International,AJT,M6,15,https://images.flightradar24.com/assets/airlines/logotypes/1040.png,2024-02-09 12:15:35.340320
243,Ameristar,AJI,7Z,12,placeholder,2024-02-09 12:15:35.340320
244,Anap Jets,AJP,,5,placeholder,2024-02-09 12:15:35.340320
245,Anderson Air,ADS,,1,placeholder,2024-02-09 12:15:35.340320
246,Andes Lineas Aereas,ANS,O4,2,https://images.flightradar24.com/assets/airlines/logotypes/1348.png,2024-02-09 12:15:35.340320
247,Angara Airlines,AGU,2G,2,https://images.flightradar24.com/assets/airlines/logotypes/1010.png,2024-02-09 12:15:35.340320
248,Anguilla Air Services,AXL,Q3,7,placeholder,2024-02-09 12:15:35.340320
249,Animawings,AWG,A2,1,placeholder,2024-02-09 12:15:35.340320
250,Antonov Airlines,ADB,,7,https://images.flightradar24.com/assets/airlines/logotypes/1216.png,2024-02-09 12:15:35.340320
251,APG Airlines,RIV,GP,1,https://images.flightradar24.com/assets/airlines/logotypes/528.png,2024-02-09 12:15:35.340320
252,Arajet,DWI,DM,9,https://images.flightradar24.com/assets/airlines/logotypes/614.png,2024-02-09 12:15:35.340320
253,Arc en Ciel,JMS,,5,placeholder,2024-02-09 12:15:35.340320
254,Arcus Air,AZE,,11,https://images.flightradar24.com/assets/airlines/logotypes/1050.png,2024-02-09 12:15:35.340320
