SCHOOL NAME,NUM STUDENTS
P.S. 008 Luis Belliard,202
P.S. 008 Robert Fulton,281
P.S. 009 Sarah Anderson,350
P.S. 009 Teunis G. Bergen,243
P.S. 011 Highbridge,255
P.S. 011 Purvis J. Behan,152
P.S. 011 William T. Harris,412
P.S. 012,156
P.S. 012 James B. Colgate,306
P.S. 013 Clement C. Moore,257
P.S. 013 Roberto Clemente,174
P.S. 014 Fairview,209
P.S. 015 Patrick F. Daly,286
P.S. 015 Roberto Clemente,182
P.S. 016 Leonard Dunkly,126
P.S. 016 Wakefield,264
P.S. 017 Henry D. Woodworth,253
P.S. 018 Edward Bush,153
P.S. 018 John Peter Zenger,255
P.S. 018 Park Terrace,427
P.S. 018 Winchester,168
P.S. 019 Asher Levy,211
P.S. 019 Judith K. Weiss,762
P.S. 019 Marino Jeantet,290
P.S. 019 Roberto Clemente,144
P.S. 020 Anna Silver,285
P.S. 020 Clinton Hill,281
P.S. 020 John Bowne,157
P.S. 021 Crispus Attucks,209
P.S. 021 Edward Hart,410
P.S. 021 Philip H. Sheridan,234
P.S. 022,224
P.S. 022 Thomas Jefferson,236
P.S. 023 Carter G. Woodson,157
P.S. 023 The New Children's School,152
P.S. 024,217
P.S. 024 Andrew Jackson,302
P.S. 024 Spuyten Duyvil,341
P.S. 025 Bilingual School,125
P.S. 025 Eubie Blake School,130
P.S. 026 Jesse Owens,242
P.S. 026 Rufus King,329
P.S. 028 Mount Hope,242
P.S. 028 The Warren Prep Academy,158
P.S. 028 Wright Brothers,278
P.S. 029 John M. Harrigan,307
P.S. 029 Queens,218
P.S. 030 Hernandez/Hughes,212
P.S. 030 Wilton,168
P.S. 031 Bayside,181
P.S. 031 Samuel F. Dupont,191
P.S. 032 Belmont,295
P.S. 032 Samuels Mills Sprole,96
P.S. 032 State Street,168
P.S. 033 Chelsea Prep,195
P.S. 033 Timothy Dwight,251
P.S. 034 Franklin D. Roosevelt,558
P.S. 034 Oliver H. Perry,187
P.S. 035 Franz Siegel,156
P.S. 036 Margaret Douglas,360
P.S. 036 Unionport,299
P.S. 038 The Pacific,205
P.S. 039 Henry Bristow,171
P.S. 040 Augustus Saint-Gaudens,311
P.S. 040 George W. Carver,215
P.S. 041 Crocheron,238
P.S. 041 Francis White,724
P.S. 041 Greenwich Village,307
P.S. 041 Gun Hill Road,250
P.S. 042 Benjamin Altman,186
P.S. 042 Claremont,257
P.S. 042 R. Vernam,291
P.S. 043,621
P.S. 043 Jonas Bronck,210
P.S. 044 David C. Farragut,169
P.S. 044 Marcus Garvey,142
P.S. 045 Clarence Witherspoon,193
P.S. 046 Alley Pond,318
P.S. 046 Arthur Tappan,606
P.S. 046 Edgar Allan Poe,348
P.S. 046 Edward C. Blum,124
P.S. 047 Chris Galas,356
P.S. 047 John Randolph,311
P.S. 048 Joseph R. Drake,239
P.S. 048 Mapleton,183
P.S. 048 P.O. Michael J. Buczek,305
P.S. 049 Dorothy Bonawit Kole,688
P.S. 049 Willis Avenue,247
P.S. 050 Clara Barton,211
P.S. 050 Vito Marcantonio,660
P.S. 051,95
P.S. 051 Bronx New School,149
P.S. 051 Elias Howe,253
P.S. 052 Sheepshead Bay,448
P.S. 053 Basheer Quisim,206
P.S. 054 Samuel C. Barnes,235
P.S. 055 Benjamin Franklin,163
P.S. 056 Harry Eichler,246
P.S. 056 Lewis H. Latimer,151
P.S. 056 Norwood Heights,198
P.S. 057 Crescent,228
P.S. 058,198
P.S. 058 The Carroll,293
P.S. 059 Beekman Hill International,301
P.S. 059 The Community School of Technology,235
P.S. 059 William Floyd,157
P.S. 060 Woodhaven,263
P.S. 061 Francisco Oller,219
P.S. 062 Chester Park,178
P.S. 062 Inocensio Casanova,272
P.S. 063 Author's Academy,290
P.S. 063 Old South,211
P.S. 063 William McKinley,164
P.S. 064 Joseph P. Addabbo,186
P.S. 064 Pura Belpre,272
P.S. 064 Robert Simon,247
P.S. 065,244
P.S. 065 Mother Hale Academy,165
P.S. 066 Jacqueline Kennedy Onassis,274
P.S. 066 School of Higher Expectations,236
P.S. 067 Charles A. Dorsey,144
P.S. 067 Mohegan School,162
P.S. 068 Bronx,231
P.S. 068 Cambridge,248
P.S. 069 The New Vision School,248
P.S. 070 Max Schoenfeld,200
P.S. 071 Forest,284
P.S. 071 Rose E. Scala,812
P.S. 072 Dr. William Dorney,307
P.S. 073 Bronx,255
P.S. 073 Thomas S. Boyland,278
P.S. 075,268
P.S. 075 Emily Dickinson,285
P.S. 076 A. Philip Randolph,241
P.S. 076 The Bennington School,313
P.S. 078 Anne Hutchinson,249
P.S. 079 Creston,39
P.S. 079 Francis Lewis,325
P.S. 081 Robert J. Christen,202
P.S. 081 Thaddeus Stevens,326
P.S. 083 Donald Hertz,886
P.S. 083 Luis Munoz Rivera,193
P.S. 084 Jose De Diego,187
P.S. 084 Lillian Weber,231
P.S. 085 Great Expectations,325
P.S. 086 Kingsbridge Heights,326
P.S. 087 Bronx,212
P.S. 087 Middle Village,642
P.S. 087 William Sherman,243
P.S. 088 Seneca,323
P.S. 089 Bronx,762
P.S. 089 Cypress Hills,382
P.S. 089 Elmhurst,340
P.S. 090 George Meany,24
P.S. 090 Horace Mann,306
P.S. 091 Bronx,228
P.S. 091 Richard Arkwright,347
P.S. 091 The Albany Avenue School,279
P.S. 092 Adrian Hegeman,188
P.S. 092 Bronx,166
P.S. 092 Mary McLeod Bethune,187
P.S. 093 Albert G. Oliver,229
P.S. 093 William H. Prescott,173
P.S. 094 David D. Porter,144
P.S. 094 Kings College School,235
P.S. 094 The Henry Longfellow,232
P.S. 095 Sheila Mencher,966
P.S. 095 The Gravesend,491
P.S. 096,199
P.S. 096 Joseph Lanzetta,454
P.S. 096 Richard Rodgers,257
P.S. 097 Bronx,274
P.S. 097 Forest Park,242
P.S. 098 Shorac Kappock,217
P.S. 098 The Douglaston School,135
P.S. 099 Isaac Asimov,672
P.S. 100 Glen Morris,259
P.S. 100 Isaac Clason,301
P.S. 100 The Coney Island School,204
P.S. 101 The Verrazano,294
P.S. 102 Bayview,509
P.S. 102 Jacques Cartier,203
P.S. 102 Joseph O. Loretan,237
P.S. 102 The Bayview,341
P.S. 103 Hector Fontanez,248
P.S. 104 The Bays Water,340
P.S. 105 Sen Abraham Bernstein,345
P.S. 105 The Bay School,535
P.S. 105 The Blythebourne,381
P.S. 106,238
P.S. 106 Parkchester,309
P.S. 107,259
P.S. 107 John W. Kimball,231
P.S. 107 Thomas A Dooley,166
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,221
P.S. 108 Captain Vincent G. Fowler,326
P.S. 108 Philip J. Abinanti,188
P.S. 108 Sal Abbracciamento,203
P.S. 109,669
P.S. 109 Sedgwick,182
P.S. 110 Florence Nightingale,288
P.S. 110 The Monitor,227
P.S. 110 Theodore Schoenfeld,206
P.S. 111 Adolph S. Ochs,591
P.S. 111 Seton Falls,293
P.S. 112 Bronxwood,229
P.S. 112 Jose Celso Barbosa,105
P.S. 112 Lefferts Park,203
P.S. 113 Isaac Chauncey,414
P.S. 114 Ryder Elementary,205
P.S. 115 Alexander Humboldt,196
P.S. 115 Daniel Mucatel School,361
P.S. 115 Glen Oaks,419
P.S. 116 Mary Lindley Murray,298
P.S. 119,262
P.S. 119 Amersfort,275
P.S. 120 Carlos Tapia,140
P.S. 120 Queens,227
P.S. 121 Nelson A. Rockefeller,272
P.S. 121 Throop,333
P.S. 123,311
P.S. 123 Mahalia Jackson,625
P.S. 124 Osmond A Church,707
P.S. 124 Silas B. Dutcher,143
P.S. 124 Yung Wing,436
P.S. 125 Ralph Bunche,118
P.S. 126 Dr Marjorie H Dunbar,249
P.S. 126 Jacob August Riis,795
P.S. 127 Mckinley Park,302
P.S. 128 Audubon,207
P.S. 128 Bensonhurst,191
P.S. 128 Juniper Valley,355
P.S. 129 John H. Finley,466
P.S. 129 Patricia Larkin,302
P.S. 129 Twin Parks Upper,340
P.S. 130,173
P.S. 130 Abram Stevens Hewitt,212
P.S. 130 Hernando De Soto,336
P.S. 130 The Parkside,188
P.S. 131 Brooklyn,241
P.S. 132 Garret A. Morgan,284
P.S. 132 Juan Pablo Duarte,238
P.S. 132 The Conselyea School,280
P.S. 133 Fred R Moore,255
P.S. 133 Queens,207
P.S. 133 William A. Butler,227
P.S. 134 George F. Bristow,193
P.S. 134 Henrietta Szold,150
P.S. 135 Sheldon A. Brookner,200
P.S. 137 John L. Bernstein,144
P.S. 138 Brooklyn,598
P.S. 138 Samuel Randall,308
P.S. 139 Alexine A. Fenty,363
P.S. 140 Nathan Straus,539
P.S. 142 Amalia Castro,276
P.S. 143 Louis Armstrong,281
"P.S. 145, The Bloomingdale School",220
P.S. 146,355
P.S. 146 Ann M. Short,302
P.S. 146 Edward Collins,164
P.S. 146 Howard Beach,636
P.S. 147 Isaac Remsen,134
P.S. 149 Danny Kaye,202
P.S. 149 Sojourner Truth,379
P.S. 150,162
P.S. 150 Charles James Fox,269
P.S. 150 Christopher,323
P.S. 152 Dyckman Valley,266
P.S. 152 Evergreen,201
P.S. 153 Adam Clayton Powell,438
P.S. 153 Helen Keller,380
P.S. 153 Homecrest,202
P.S. 153 Maspeth Elem,460
P.S. 154 Harriet Tubman,148
P.S. 154 Jonathan D. Hyatt,240
P.S. 154 Queens,163
P.S. 155,262
P.S. 155 William Paca,177
P.S. 156 Waverly,247
P.S. 157 Benjamin Franklin,186
P.S. 157 Grove Hill,145
P.S. 158 Bayard Taylor,351
P.S. 158 Warwick,180
P.S. 159,163
P.S. 159 Isaac Pitkin,187
P.S. 159 Luis Munoz Marin Biling,160
P.S. 160 Walt Disney,212
P.S. 160 William T. Sampson,178
P.S. 161 Pedro Albizu Campos,799
P.S. 161 Ponce De Leon,299
P.S. 161 The Crown,648
P.S. 162 John Golden,186
P.S. 163 Alfred E. Smith,428
P.S. 163 Arthur A. Schomburg,158
P.S. 163 Bath Beach,199
P.S. 163 Flushing Heights,175
P.S. 164 Caesar Rodney,293
P.S. 164 Queens Valley,690
P.S. 165 Edith K. Bergtraum,427
P.S. 165 Ida Posner,457
P.S. 165 Robert E. Simon,691
P.S. 166 The Richard Rodgers School of The Arts and Technology,317
